,full,dry,warm,big,light,smooth,clean,fruit,grass,smoke,sweet,spice,oil,salt,arome,ling,long,very,quick
Convalmore,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cragganmor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Craigellac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dailuaine,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dallas Dhu,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Dalmore,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dalwhinnie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deanston,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dufftown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Edradour,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fettercair,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Glen  Alby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Glenallach,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Glenburgie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glencadam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Dever,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Glendronac,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Glendullan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glen Elgin,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Glenesk,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Glenfarcla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Glenfiddic,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Glen Gario,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Glenglassa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glengoyne,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Glen Grant,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glen Keith,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glenkinchi,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Glenlivet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glenlochy,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Glenlossie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Glen Mhor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Glenmorang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glen Moray,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glen Ordie,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Glenrothes,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Scoti,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glen Spey,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glentauche,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glenturret,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Glenugie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenury Ro,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Highland P,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Imperial,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Inchgower,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Inchmurrin,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Inverleven,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jura,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kinclaith,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Knockando,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
Knockdhu,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Ladyburn,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagavulin,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Laphroaig,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkwood,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Littlemill,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Lochnagar,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Lochside,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Longmorn,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Macallan,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Millburn,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Miltonduff,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mortlach,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
North Port,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oban,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Port Ellen,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Pulteney,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Rosebank,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Magd,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Scapa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Singleton,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Speyburn,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Springbank,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Longrow,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Strathisla,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Talisker,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Tamdhu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamnavulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Teaninich,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tobermory,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Tomatin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tomintoul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tormore,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Tullibardi,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
