,AROMA,PEAT,SWEET,LIGHT,FRESH,DRY,FRUIT,GRASS,SEA,SHERRY,SPICY,RICH,
Glenlivet,0,0,0,0,0,0,0,1,0,1,0,0,
Glenlochy,0,1,0,1,0,1,0,0,0,0,0,0,
Glenlossie,0,0,1,0,1,1,1,0,0,1,0,0,
Glen Mhor,1,0,1,0,0,0,0,0,0,0,0,0,
Glenmorang,0,0,1,0,1,0,0,1,1,0,1,0,
Glen Moray,0,0,0,0,1,0,0,1,0,0,0,1,
Glen Ordie,0,1,1,0,0,1,0,0,0,0,0,1,
Glenrothes,1,0,0,0,0,0,1,0,0,0,0,1,
Glen Scoti,1,0,0,0,1,0,0,0,1,0,0,0,
Glen Spey,1,0,0,1,0,0,0,0,0,0,0,0,
Glentauche,0,0,1,1,0,1,1,0,1,0,1,0,
Glenturret,1,0,1,0,0,0,0,0,0,0,0,0,
Glenugie,0,1,0,0,0,0,1,0,1,1,0,0,
Glenury Ro,1,1,0,0,0,1,0,0,0,0,0,0,
Highland P,0,1,1,0,0,0,1,0,0,1,0,0,
Imperial,1,1,0,0,0,0,0,0,0,1,0,0,
Inchgower,1,1,1,0,0,1,0,0,1,0,0,1,
Inchmurrin,1,0,0,0,0,1,0,1,0,0,0,0,
Inverleven,1,1,0,0,0,1,1,1,0,0,0,0,
Jura,0,1,1,1,0,1,0,0,0,1,0,0,
Kinclaith,0,1,0,0,0,0,0,0,1,0,0,0,
Knockando,1,1,0,0,0,1,0,0,0,0,0,0,
Knockdhu,0,1,1,0,0,1,1,0,0,0,0,0,
Ladyburn,0,0,0,1,0,1,1,0,0,0,0,0,
Lagavulin,0,1,0,0,0,1,0,0,1,1,0,0,
Laphroaig,0,0,0,0,0,0,0,0,1,1,0,0,
Linkwood,0,0,1,1,0,0,0,0,0,1,0,1,
Littlemill,0,1,1,0,0,0,0,0,0,0,0,0,
Lochnagar,0,1,0,0,0,0,0,0,0,0,0,0,
Lochside,0,0,0,0,0,0,1,0,0,1,0,1,
Longmorn,0,0,0,0,0,0,0,1,0,0,0,1,
Macallan,0,0,1,0,0,0,1,0,0,1,0,1,
Millburn,1,0,0,0,0,0,0,0,0,1,0,1,
Miltonduff,1,1,0,0,0,1,0,1,0,0,0,0,
Mortlach,0,1,1,0,0,0,0,0,0,0,0,1,
North Port,0,1,0,0,0,1,0,0,0,1,0,0,
Oban,0,1,1,0,1,0,0,0,1,0,0,0,
Port Ellen,1,1,1,0,0,0,0,1,1,0,1,0,
Pulteney,0,0,0,0,1,1,0,0,1,0,0,0,
Rosebank,1,0,0,0,0,1,0,1,0,1,0,0,
Saint Magd,0,1,0,0,0,1,0,0,0,1,0,0,
Scapa,0,0,0,0,1,0,1,1,1,0,0,0,
Singleton,0,0,0,0,0,0,0,0,0,1,0,0,
Speyburn,0,0,0,0,0,1,1,0,0,1,0,0,
Springbank,0,0,1,0,1,0,0,0,1,0,0,1,
Longrow,0,1,0,0,0,0,0,1,1,0,0,0,
Strathisla,0,0,0,0,0,1,0,0,0,1,0,1,
Talisker,0,1,1,0,0,0,0,0,1,0,0,1,
Tamdhu,0,1,1,1,0,0,0,0,0,1,0,0,
Tamnavulin,0,1,0,0,0,0,0,1,0,0,0,0,
Teaninich,1,1,0,0,0,1,0,0,0,0,0,0,
Tobermory,0,1,1,1,0,0,0,0,0,0,0,0,
Tomatin,1,1,1,0,1,1,0,0,0,0,0,0,
Tomintoul,1,0,0,0,0,0,0,1,0,0,0,0,
Tormore,0,1,0,0,0,1,1,0,0,0,0,0,
Tullibardi,0,0,1,0,0,0,0,0,0,0,0,0,
